nom1,nom,Nation,Pos,equip,Born,partits,minuts,ga90,save
Sam Johnstone,Sam-Johnstone,eng ENG,GK,West Brom,1993.0,28,2520,1.96,0.6890000000000001
Samir Handanović,Samir-Handanovic,si SVN,GK,Inter,1984.0,62,5580,0.9251685393258428,0.7280674157303371
Samir Ujkani,Samir-Ujkani,xk KVX,GK,Torino,1988.0,1,90,3.0,0.6
Saturnin Allagbé,Saturnin-Allagbe,bj BEN,GK,Dijon,1993.0,4,360,2.0,0.6
Sébastien Cibois,Sebastien-Cibois,fr FRA,GK,Brest,1998.0,3,270,1.33,0.7
Sergio Álvarez,Sergio-Alvarez,es ESP,GK,Celta Vigo,1986.0,4,180,0.5,0.75
Sergio Asenjo,Sergio-Asenjo,es ESP,GK,Villarreal,1989.0,62,5580,1.1882222222222223,0.7273333333333333
Sergio Herrera,Sergio-Herrera,es ESP,GK,Osasuna,1993.0,44,3893,1.3750921546240418,0.6808558147121186
Sergio Rico,Sergio-Rico,es ESP,GK,Paris S-G,1993.0,10,855,1.4705882352941178,0.7021764705882353
Simon Moore,Simon-Moore,eng ENG,GK,Sheffield Utd,1990.0,2,180,3.0,0.5
Simone Colombi,Simone-Colombi,it ITA,GK,Parma,1991.0,4,360,1.0,0.8240000000000001
Stefan Bajic,Stefan-Bajic,fr FRA,GK,Saint-Étienne,2001.0,2,180,2.0,0.3333333333333333
Stefan Ortega,Stefan-Ortega,de GER,GK,Arminia,1992.0,26,2340,1.73,0.7040000000000001
Stefanos Kapino,Stefanos-Kapino,gr GRE,GK,Werder Bremen,1994.0,1,90,2.0,0.6
Stéphane Ruffier,Stephane-Ruffier,fr FRA,GK,Saint-Étienne,1986.0,22,1980,1.82,0.606
Steve Mandanda,Steve-Mandanda,fr FRA,GK,Marseille,1985.0,56,4981,1.0715742326439204,0.7157116321960215
Sven Ulreich,Sven-Ulreich,de GER,GK,Bayern Munich,1988.0,2,90,1.0,0.667
Thibaut Courtois,Thibaut-Courtois,be BEL,GK,Real Madrid,1992.0,62,5580,0.6615555555555556,0.7877555555555555
Thomas Kraft,Thomas-Kraft,de GER,GK,Hertha BSC,1988.0,4,360,2.25,0.55
Thomas Strakosha,Thomas-Strakosha,al ALB,GK,Lazio,1995.0,44,3960,1.2168,0.73908
Tim Krul,Tim-Krul,nl NED,GK,Norwich City,1988.0,36,3240,1.89,0.6559999999999999
Timo Horn,Timo-Horn,de GER,GK,Köln,1993.0,60,5349,1.9520816967792616,0.6028676355066772
Tobias Sippel,Tobias-Sippel,de GER,GK,MGladbach,1988.0,1,90,1.0,0.5
Tom Heaton,Tom-Heaton,eng ENG,GK,Aston Villa,1986.0,20,1794,1.76,0.677
Tomáš Koubek,Tomas-Koubek,cz CZE,GK,Augsburg,1992.0,24,2160,2.12,0.5820000000000001
Tomáš Vaclík,Tomas-Vaclik,cz CZE,GK,Sevilla,1989.0,37,3285,0.9796296296296296,0.6866419753086419
Unai Simón,Unai-Simon,es ESP,GK,Athletic Club,1997.0,62,5511,0.9547217033993275,0.7315423982069481
Vanja Milinković-Savić,Vanja-Milinkovic-Savic,rs SRB,GK,Torino,1997.0,2,180,2.0,0.7
Vicente Guaita,Vicente-Guaita,es ESP,GK,Crystal Palace,1987.0,64,5760,1.330967741935484,0.6977849462365593
Vito Mannone,Vito-Mannone,it ITA,GK,Monaco,1988.0,9,810,1.56,0.6
Walter Benítez,Walter-Benitez,ar ARG,GK,Nice,1993.0,56,5040,1.376511627906977,0.7506046511627907
Wayne Hennessey,Wayne-Hennessey,wal WAL,GK,Crystal Palace,1987.0,3,270,2.67,0.636
Willy Caballero,Willy-Caballero,ar ARG,GK,Chelsea,1981.0,6,540,1.6285714285714286,0.48257142857142854
Wladimiro Falcone,Wladimiro-Falcone,it ITA,GK,Sampdoria,1995.0,2,180,2.5,0.6920000000000001
Wojciech Szczęsny,Wojciech-Szczesny,pl POL,GK,Juventus,1990.0,51,4571,1.0895512135551824,0.7717496565409862
Yann Sommer,Yann-Sommer,ch SUI,GK,MGladbach,1988.0,59,5310,1.293095238095238,0.7129404761904762
Yannis Clementia,Yannis-Clementia,fr FRA,GK,Nice,1997.0,2,180,1.0,0.833
Yassine Bounou,Yassine-Bounou,ma MAR,GK,Sevilla,1991.0,30,2655,0.6038317757009346,0.8559719626168224
Yehvann Diouf,Yehvann-Diouf,fr FRA,GK,Reims,1999.0,2,135,0.67,1.0
Yoel,Yoel,es ESP,GK,Eibar,1988.0,6,390,1.4535294117647057,0.4917058823529412
Yohann Pelé,Yohann-Pele,fr FRA,GK,Marseille,1982.0,3,239,1.4261094224924011,0.6486717325227964
Yvon Mvogo,Yvon-Mvogo,ch SUI,GK,RB Leipzig,1994.0,2,180,1.5,0.4
Zack Steffen,Zack-Steffen,us USA,GK,Düsseldorf,1995.0,18,1620,2.0610526315789475,0.6250526315789474
