,Wk,Day,Date,Time,Home,xG,Score1,Score2,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
180,19.0,Fri,2021-01-29,20:30,Stuttgart,1.0,2,0,0.5,Mainz 05,,Mercedes-Benz Arena,Frank Willenborg,Match Report,
181,19.0,Sat,2021-01-30,15:30,Dortmund,1.8,3,1,0.5,Augsburg,,Signal Iduna Park,Patrick Ittrich,Match Report,
182,19.0,Sat,2021-01-30,15:30,Union Berlin,0.5,1,1,0.9,MGladbach,,Stadion An der Alten Försterei,Bastian Dankert,Match Report,
183,19.0,Sat,2021-01-30,15:30,Eint Frankfurt,2.3,3,1,0.5,Hertha BSC,,Commerzbank-Arena,Florian Badstübner,Match Report,
184,19.0,Sat,2021-01-30,15:30,Bayern Munich,2.0,4,1,2.1,Hoffenheim,,Allianz Arena,Benjamin Cortus,Match Report,
185,19.0,Sat,2021-01-30,15:30,Werder Bremen,0.7,1,1,0.3,Schalke 04,,Weserstadion,Sören Storks,Match Report,
186,19.0,Sat,2021-01-30,18:30,RB Leipzig,1.7,1,0,0.5,Leverkusen,,Red Bull Arena,Harm Osmers,Match Report,
187,19.0,Sun,2021-01-31,15:30,Köln,1.7,3,1,1.5,Arminia,,RheinEnergieSTADION,Felix Zwayer,Match Report,
188,19.0,Sun,2021-01-31,18:00,Wolfsburg,2.3,3,0,0.7,Freiburg,,Volkswagen Arena,Tobias Reichel,Match Report,
189,,,,,,,NA,NA,,,,,,,
190,20.0,Fri,2021-02-05,20:00,Hertha BSC,1.4,0,1,2.4,Bayern Munich,,Olympiastadion Berlin,Robert Schröder,Match Report,
191,20.0,Sat,2021-02-06,15:30,Leverkusen,3.9,5,2,1.5,Stuttgart,,BayArena,Sven Jablonski,Match Report,
192,20.0,Sat,2021-02-06,15:30,Schalke 04,0.2,0,3,2.1,RB Leipzig,,Veltins-Arena,Martin Petersen,Match Report,
193,20.0,Sat,2021-02-06,15:30,Augsburg,0.6,0,2,2.3,Wolfsburg,,WWK Arena,Robert Hartmann,Match Report,
194,20.0,Sat,2021-02-06,15:30,Freiburg,0.2,2,1,1.5,Dortmund,,Schwarzwald-Stadion,Felix Brych,Match Report,
195,20.0,Sat,2021-02-06,15:30,Mainz 05,1.9,1,0,0.8,Union Berlin,,Opel Arena,Sascha Stegemann,Match Report,
196,20.0,Sat,2021-02-06,18:30,MGladbach,0.8,1,2,0.5,Köln,,Stadion im Borussia-Park,Christian Dingert,Match Report,
197,20.0,Sun,2021-02-07,15:30,Hoffenheim,0.9,1,3,1.0,Eint Frankfurt,,PreZero Arena,Daniel Siebert,Match Report,
198,,,,,,,NA,NA,,,,,,,
199,21.0,Fri,2021-02-12,20:30,RB Leipzig,2.9,2,1,0.9,Augsburg,,Red Bull Arena,Felix Zwayer,Match Report,
200,21.0,Sat,2021-02-13,15:30,Stuttgart,1.3,1,1,1.4,Hertha BSC,,Mercedes-Benz Arena,Harm Osmers,Match Report,
201,21.0,Sat,2021-02-13,15:30,Dortmund,1.7,2,2,2.6,Hoffenheim,,Signal Iduna Park,Bastian Dankert,Match Report,
202,21.0,Sat,2021-02-13,15:30,Leverkusen,1.3,2,2,2.5,Mainz 05,,BayArena,Guido Winkmann,Match Report,
203,21.0,Sat,2021-02-13,15:30,Werder Bremen,0.7,0,0,0.8,Freiburg,,Weserstadion,Manuel Gräfe,Match Report,
204,21.0,Sat,2021-02-13,18:30,Union Berlin,2.3,0,0,0.4,Schalke 04,,Stadion An der Alten Försterei,Daniel Schlager,Match Report,
205,21.0,Sun,2021-02-14,15:30,Eint Frankfurt,2.0,2,0,0.4,Köln,,Commerzbank-Arena,Frank Willenborg,Match Report,
206,21.0,Sun,2021-02-14,18:00,Wolfsburg,0.8,0,0,0.6,MGladbach,,Volkswagen Arena,Tobias Stieler,Match Report,
207,21.0,Mon,2021-02-15,20:30,Bayern Munich,2.1,3,3,1.2,Arminia,,Allianz Arena,Florian Badstübner,Match Report,
208,,,,,,,NA,NA,,,,,,,
209,22.0,Fri,2021-02-19,20:30,Arminia,0.6,0,3,1.1,Wolfsburg,,SchücoArena,Felix Brych,Match Report,
210,22.0,Sat,2021-02-20,15:30,MGladbach,0.8,1,2,0.7,Mainz 05,,Stadion im Borussia-Park,Markus Schmidt,Match Report,
211,22.0,Sat,2021-02-20,15:30,Köln,0.7,0,1,0.5,Stuttgart,,RheinEnergieSTADION,Benjamin Cortus,Match Report,
212,22.0,Sat,2021-02-20,15:30,Freiburg,0.4,0,1,1.2,Union Berlin,,Schwarzwald-Stadion,Sören Storks,Match Report,
213,22.0,Sat,2021-02-20,15:30,Eint Frankfurt,1.1,2,1,2.0,Bayern Munich,,Commerzbank-Arena,Sascha Stegemann,Match Report,
214,22.0,Sat,2021-02-20,18:30,Schalke 04,0.8,0,4,1.7,Dortmund,,Veltins-Arena,Daniel Siebert,Match Report,
215,22.0,Sun,2021-02-21,13:30,Augsburg,1.5,1,1,0.5,Leverkusen,,WWK Arena,Christian Dingert,Match Report,
216,22.0,Sun,2021-02-21,15:30,Hertha BSC,0.6,0,3,1.0,RB Leipzig,,Olympiastadion Berlin,Sven Jablonski,Match Report,
217,22.0,Sun,2021-02-21,18:00,Hoffenheim,1.7,4,0,0.1,Werder Bremen,,PreZero Arena,Robert Schröder,Match Report,
218,,,,,,,NA,NA,,,,,,,
219,23.0,Fri,2021-02-26,20:30,Werder Bremen,1.0,2,1,0.9,Eint Frankfurt,,Weserstadion,Robert Hartmann,Match Report,
220,23.0,Sat,2021-02-27,15:30,Wolfsburg,0.5,2,0,1.2,Hertha BSC,,Volkswagen Arena,Bastian Dankert,Match Report,
