nom1,nom,Nation,Pos,equip,Born,partits,minuts,gls,xg,ast,xa,ong,onga,CmpS,CmpS_perc,CmpM,CmpM_perc,CmpL,CmpL_perc,KP,Last13,PPA,CrsPA,SoT_perc,Sh90,tklw,int
Chris Mepham,Chris-Mepham,wal WAL,DF,Bournemouth,1997.0,12,912,0.1,0.07,0.0,0.01,0.59,1.88,11.3,89.8,22.9,90.6,6.53,71.0,0.1,1.58,0.0,0.0,16.7,0.59,1.39,1.19
Chris Richards,Chris-Richards,us USA,DF,Bayern Munich,2000.0,10,621,0.0,0.012753036437246963,0.14505263157894735,0.022987854251012147,0.8751012145748988,0.7309716599190283,16.68695652173913,92.83188405797101,24.1768115942029,92.78550724637682,7.1,73.01739130434783,0.5776811594202899,4.345217391304348,0.867536231884058,0.4347826086956522,0.0,0.28579710144927534,1.5907246376811595,1.3028985507246378
Chris Smalling,Chris-Smalling,eng ENG,DF,Roma,1989.0,44,3529,0.08641807658058771,0.06142475512021372,0.07428762243989315,0.04214381121994657,1.9264447907390918,1.3664447907390918,12.50892857142857,91.11913265306121,27.009948979591833,95.38214285714285,6.788163265306122,80.23494897959183,0.30632653061224485,2.0698469387755103,0.05089285714285714,0.0,19.121173469387756,0.6399744897959184,0.7171938775510204,1.0474744897959183
Chris Wood,Chris-Wood,nz NZL,FW,Burnley,1991.0,56,4404,0.44281431486422856,0.44295087113482967,0.027650290378276564,0.036174854810861724,0.9166394600533668,1.2230874274054309,8.002020408163265,71.48265306122448,3.326387755102041,60.77224489795918,0.511061224489796,56.84918367346939,0.6731836734693877,0.5532448979591837,0.1634081632653061,0.0,52.872857142857136,2.1007755102040817,0.2870408163265306,0.18
Chrislain Matsima,Chrislain-Matsima,fr FRA,DF,Monaco,2002.0,7,343,0.0,0.04,0.0,0.04,1.32,1.05,16.6,92.6,35.3,97.1,10.0,74.5,0.53,6.84,0.53,0.26,0.0,1.05,1.05,0.26
Christian Atsu,Christian-Atsu,gh GHA,FWMF,Newcastle Utd,1992.0,19,749,0.0,0.02,0.36,0.11,0.48,1.81,10.4,91.5,6.99,82.9,1.57,43.3,1.57,0.24,1.2,0.48,20.0,0.6,1.08,0.84
Christian Benteke,Christian-Benteke,be BEL,FW,Crystal Palace,1990.0,46,2420,0.2209583682592903,0.3664766694607432,0.07323833473037161,0.1240933221570271,0.8871500419111485,1.3482900251466892,8.961710037174722,63.553903345724905,4.719591078066915,59.646840148698885,0.8155018587360595,56.33011152416358,1.037360594795539,1.153457249070632,0.8187732342007434,0.11122676579925651,44.24089219330856,3.2014126394052043,0.3743866171003718,0.372453531598513
Christian Celesia,Christian-Celesia,it ITA,DF,Torino,2002.0,1,1,0.0,0.0,0.0,16.25,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Clemens,Christian-Clemens,de GER,MFFW,Köln,1991.0,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Christian Dalle Mura,Christian-Dalle-Mura,it ITA,MF,Fiorentina,2002.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
